Signatur,Sortierung,Spider,Test,Parameter,Bedeutung,Format,URL (manuell),Bezeichnung der URL (nur intern),Stufe 2 de,Stufe 2 fr,Stufe 2 it,Stufe 3 de,Stufe 3 fr,Stufe 3 it,Matching,GN-Match,Bemerkung DE,Bemerkung FR,Bemerkung IT,interne Bemerkung,Gesetzliche Grundlage,Aktivität
NE_TC_999,16,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunal Cantonal,,,Autres,,,,,,,,,
NE_TR_001,20,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunaux régional - Civil,,,,,,1#PSIM|1#ML|1#MP|1#TRAV|1#PORD|1#PECF,,,,,NE 161.1,
NE_TR_002,21,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunaux régional - Pénal,,,,,,1#POL,,,,,NE 161.1,
NE_ARA_001,22,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,"Autorité de recours des avocates, des avocats et du notariat",,,,,,1#ARAN,,,,,,
NE_ASL_001,23,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Autorité de surveillance LP,,,,,,1#ASLP,,,,,,
NE_ASS_001,24,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Autorité supérieure de surveillance LP,,,,,,1#ASSLP,,,,,,
NE_ATS_001,25,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Autorité tutélaire de surveillance,,,,,,1#ATS,,,,,,
NE_CA_001,26,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Autorité de surveillance des avocats,,,,,,1#ASA,,,,,NE 165.10,
NE_CN_001,27,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Autorité de surveillance du notariat,,,,,,1#NOTA,,,,,,
NE_TR_003,40,,,,,,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunaux régional,,,Chambre de conciliation,,,,,,,,NE 161.1,
NE_TC_004,41,,,,,,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunal Cantonal,,,"Cour Civile, Autorité supérieure de surveillance en matière de poursuites et faillites",,,,,,,,NE 161.1,
NE_TDI_001,42,,,,,,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunal d'instance,,,,,,,,,,,NE 161.1,
NE_TR_010,43,,,,,,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunaux régional,,,Tribunal des mesures de contrainte,,,,,,,,NE 161.1,
